id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado,motivo_rechazo
42,3586,,11247.07,,"fecha_siniestro_invalida,estado_vacio"
43,11680,,10535.93,Cerrado,fecha_siniestro_invalida
44,17906,,8.58031,Abierto,fecha_siniestro_invalida
46,2860,,,Rechazado,"fecha_siniestro_invalida,monto_siniestro_invalido"
47,6904,,7795.35,Abierto,fecha_siniestro_invalida
48,503,,3740.29,Rechazado,fecha_siniestro_invalida
49,12852,,4828.13,,"fecha_siniestro_invalida,estado_vacio"
50,25778,,11437.5,,"fecha_siniestro_invalida,estado_vacio"
51,1344,,14278.06,,"fecha_siniestro_invalida,estado_vacio"
52,22187,,4886.0,Cerrado,fecha_siniestro_invalida
53,11106,,2182.44,Cerrado,fecha_siniestro_invalida
54,14544,,2132.56,Cerrado,fecha_siniestro_invalida
55,19232,,5517.33,,"fecha_siniestro_invalida,estado_vacio"
56,14610,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
57,11757,,3.21508,Cerrado,fecha_siniestro_invalida
58,9803,,,,"fecha_siniestro_invalida,monto_siniestro_invalido,estado_vacio"
59,4806,,2856.71,Cerrado,fecha_siniestro_invalida
60,15711,,2916.65,Cerrado,fecha_siniestro_invalida
61,16070,,,,"fecha_siniestro_invalida,monto_siniestro_invalido,estado_vacio"
62,14407,,8.01321,Cerrado,fecha_siniestro_invalida
63,22281,,,,"fecha_siniestro_invalida,monto_siniestro_invalido,estado_vacio"
64,10093,,11.00428,Cerrado,fecha_siniestro_invalida
65,19562,,14057.33,Cerrado,fecha_siniestro_invalida
68,4916,,5792.24,,"fecha_siniestro_invalida,estado_vacio"
69,14892,,14508.66,,"fecha_siniestro_invalida,estado_vacio"
70,18587,,5.91293,Cerrado,fecha_siniestro_invalida
71,19836,,5377.67,,"fecha_siniestro_invalida,estado_vacio"
72,23320,,7245.79,,"fecha_siniestro_invalida,estado_vacio"
73,14099,,11459.27,Abierto,fecha_siniestro_invalida
74,3314,,14502.38,Cerrado,fecha_siniestro_invalida
75,9867,,1.88827,Abierto,fecha_siniestro_invalida
76,18282,,,,"fecha_siniestro_invalida,monto_siniestro_invalido,estado_vacio"
77,8700,,9.94891,Abierto,fecha_siniestro_invalida
78,4535,,8534.49,Cerrado,fecha_siniestro_invalida
79,7460,,11711.43,Cerrado,fecha_siniestro_invalida
80,23359,,,,"fecha_siniestro_invalida,monto_siniestro_invalido,estado_vacio"
81,10359,,,Cerrado,"fecha_siniestro_invalida,monto_siniestro_invalido"
82,4048,2026-02-21,9909.58,,estado_vacio
83,16988,,14.09071,,"fecha_siniestro_invalida,estado_vacio"
84,2227,,10.15882,Abierto,fecha_siniestro_invalida
85,7153,,5079.34,,"fecha_siniestro_invalida,estado_vacio"
86,25554,,,,"fecha_siniestro_invalida,monto_siniestro_invalido,estado_vacio"
87,23591,,1777.81,Abierto,fecha_siniestro_invalida
88,14027,,10253.14,Abierto,fecha_siniestro_invalida
89,12761,,14.87071,Abierto,fecha_siniestro_invalida
90,21277,,6602.43,Rechazado,fecha_siniestro_invalida
91,80,,12.22982,Abierto,fecha_siniestro_invalida
92,13736,,,,"fecha_siniestro_invalida,monto_siniestro_invalido,estado_vacio"
94,15160,,3322.55,,"fecha_siniestro_invalida,estado_vacio"
95,17219,2025-04-01,4580.14,,estado_vacio
96,17713,,7797.66,Abierto,fecha_siniestro_invalida
97,13086,,,Rechazado,"fecha_siniestro_invalida,monto_siniestro_invalido"
98,19925,,1.22819,,"fecha_siniestro_invalida,estado_vacio"
100,24052,,2.34267,,"fecha_siniestro_invalida,estado_vacio"
102,8858,,5155.2,Cerrado,fecha_siniestro_invalida
103,19170,,10183.94,,"fecha_siniestro_invalida,estado_vacio"
104,1153,,2580.4,,"fecha_siniestro_invalida,estado_vacio"
106,2501,,511.1,Abierto,fecha_siniestro_invalida
107,17613,,11560.34,,"fecha_siniestro_invalida,estado_vacio"
108,1500,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
109,9413,,4.3566,Cerrado,fecha_siniestro_invalida
110,16745,,8484.21,Abierto,fecha_siniestro_invalida
111,2641,,11886.43,Cerrado,fecha_siniestro_invalida
112,6548,,13134.7,Cerrado,fecha_siniestro_invalida
113,8649,,10126.28,Abierto,fecha_siniestro_invalida
115,24834,,12189.58,Abierto,fecha_siniestro_invalida
116,8222,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
117,12941,2025-12-12,,Abierto,monto_siniestro_invalido
118,21719,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
119,1874,,5171.14,,"fecha_siniestro_invalida,estado_vacio"
120,21805,,12403.48,Abierto,fecha_siniestro_invalida
121,3645,,13084.42,Rechazado,fecha_siniestro_invalida
122,16832,,7489.48,,"fecha_siniestro_invalida,estado_vacio"
123,8567,,5749.7,Rechazado,fecha_siniestro_invalida
124,4535,,9389.56,,"fecha_siniestro_invalida,estado_vacio"
125,17509,,1154.08,Cerrado,fecha_siniestro_invalida
126,13007,,13629.62,Rechazado,fecha_siniestro_invalida
127,424,,1595.62,Cerrado,fecha_siniestro_invalida
128,24167,,,,"fecha_siniestro_invalida,monto_siniestro_invalido,estado_vacio"
129,8836,,1652.79,Abierto,fecha_siniestro_invalida
130,14357,,,Rechazado,"fecha_siniestro_invalida,monto_siniestro_invalido"
131,21837,,13932.1,,"fecha_siniestro_invalida,estado_vacio"
132,1290,,9918.51,,"fecha_siniestro_invalida,estado_vacio"
133,5720,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
134,7223,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
135,24992,,302.32,Abierto,fecha_siniestro_invalida
136,9670,,6.04015,Cerrado,fecha_siniestro_invalida
137,23959,,13295.74,Cerrado,fecha_siniestro_invalida
138,22384,,9.05184,Abierto,fecha_siniestro_invalida
139,21305,,12134.64,Rechazado,fecha_siniestro_invalida
140,21427,,12.52296,Abierto,fecha_siniestro_invalida
141,25512,,8366.08,Abierto,fecha_siniestro_invalida
142,14587,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
143,2790,2025-10-13,,Rechazado,monto_siniestro_invalido
144,7956,,8822.7,Abierto,fecha_siniestro_invalida
145,5744,,3902.65,Abierto,fecha_siniestro_invalida
147,3192,,9549.21,Cerrado,fecha_siniestro_invalida
148,9556,,,Cerrado,"fecha_siniestro_invalida,monto_siniestro_invalido"
149,9146,,2981.78,Abierto,fecha_siniestro_invalida
151,2464,,3627.56,Cerrado,fecha_siniestro_invalida
153,7402,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
154,11333,,,,"fecha_siniestro_invalida,monto_siniestro_invalido,estado_vacio"
155,17654,,13419.79,,"fecha_siniestro_invalida,estado_vacio"
157,22187,,4984.64,Cerrado,fecha_siniestro_invalida
158,8637,,12772.25,Rechazado,fecha_siniestro_invalida
161,12821,,1663.96,,"fecha_siniestro_invalida,estado_vacio"
162,17558,,2904.94,Abierto,fecha_siniestro_invalida
163,3344,,,Cerrado,"fecha_siniestro_invalida,monto_siniestro_invalido"
164,3953,,14622.5,Cerrado,fecha_siniestro_invalida
165,3478,,5.98933,Cerrado,fecha_siniestro_invalida
166,3400,,11123.38,,"fecha_siniestro_invalida,estado_vacio"
167,19661,,5398.38,Cerrado,fecha_siniestro_invalida
168,6501,,3552.32,Cerrado,fecha_siniestro_invalida
169,23178,,4944.75,Cerrado,fecha_siniestro_invalida
170,14794,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
171,6401,,13.25853,Rechazado,fecha_siniestro_invalida
172,10449,,3349.56,Abierto,fecha_siniestro_invalida
174,25761,,9433.77,Rechazado,fecha_siniestro_invalida
175,6907,2025-12-06,12028.02,,estado_vacio
176,14992,,7840.46,Abierto,fecha_siniestro_invalida
177,15938,,13797.55,,"fecha_siniestro_invalida,estado_vacio"
178,22497,,12.18869,Cerrado,fecha_siniestro_invalida
179,12699,,1.45235,,"fecha_siniestro_invalida,estado_vacio"
180,13273,,14255.51,,"fecha_siniestro_invalida,estado_vacio"
181,3779,,2915.04,Abierto,fecha_siniestro_invalida
182,6051,,4.0836,Abierto,fecha_siniestro_invalida
183,15820,,,Rechazado,"fecha_siniestro_invalida,monto_siniestro_invalido"
185,23960,,2485.0,Cerrado,fecha_siniestro_invalida
186,14257,2026-01-14,,Abierto,monto_siniestro_invalido
187,17116,,8263.06,Rechazado,fecha_siniestro_invalida
188,9285,,3554.71,,"fecha_siniestro_invalida,estado_vacio"
189,11691,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
190,15565,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
193,19056,2025-12-02,,Abierto,monto_siniestro_invalido
194,13685,,8942.15,Abierto,fecha_siniestro_invalida
195,3021,,1043.99,Rechazado,fecha_siniestro_invalida
196,4434,,1158.74,Cerrado,fecha_siniestro_invalida
197,5812,,12.80656,,"fecha_siniestro_invalida,estado_vacio"
198,3833,,9.01627,Rechazado,fecha_siniestro_invalida
199,15158,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
201,10253,,,,"fecha_siniestro_invalida,monto_siniestro_invalido,estado_vacio"
202,6793,2025-08-30,,Cerrado,monto_siniestro_invalido
203,21133,,4564.31,Rechazado,fecha_siniestro_invalida
204,11440,,,Rechazado,"fecha_siniestro_invalida,monto_siniestro_invalido"
205,15065,,14726.41,Cerrado,fecha_siniestro_invalida
207,10666,,10303.63,Abierto,fecha_siniestro_invalida
208,5006,,4.50493,Cerrado,fecha_siniestro_invalida
209,16837,,11810.11,,"fecha_siniestro_invalida,estado_vacio"
210,14034,,12.03608,Cerrado,fecha_siniestro_invalida
212,14352,,8.84732,,"fecha_siniestro_invalida,estado_vacio"
214,16890,,2780.04,Abierto,fecha_siniestro_invalida
216,8726,,4.34645,,"fecha_siniestro_invalida,estado_vacio"
217,14431,,2.51093,Abierto,fecha_siniestro_invalida
219,25727,,,Cerrado,"fecha_siniestro_invalida,monto_siniestro_invalido"
220,2535,,5.00106,Abierto,fecha_siniestro_invalida
221,2986,,9139.78,Cerrado,fecha_siniestro_invalida
222,13632,,14814.18,Cerrado,fecha_siniestro_invalida
223,2629,,3.64277,,"fecha_siniestro_invalida,estado_vacio"
224,19260,,5466.39,Abierto,fecha_siniestro_invalida
225,19366,,851.04,,"fecha_siniestro_invalida,estado_vacio"
226,12950,,2683.64,Cerrado,fecha_siniestro_invalida
228,9398,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
229,16087,,5.95736,Cerrado,fecha_siniestro_invalida
230,19159,,1517.87,Cerrado,fecha_siniestro_invalida
231,16670,,12582.5,Rechazado,fecha_siniestro_invalida
232,3014,,9726.96,Cerrado,fecha_siniestro_invalida
233,11033,,9170.56,Abierto,fecha_siniestro_invalida
234,16501,,,,"fecha_siniestro_invalida,monto_siniestro_invalido,estado_vacio"
235,23798,,10657.43,Abierto,fecha_siniestro_invalida
236,22678,2025-11-11,,Abierto,monto_siniestro_invalido
237,24184,,13713.94,,"fecha_siniestro_invalida,estado_vacio"
238,19973,,,Rechazado,"fecha_siniestro_invalida,monto_siniestro_invalido"
239,22979,,,Cerrado,"fecha_siniestro_invalida,monto_siniestro_invalido"
240,15810,,,Rechazado,"fecha_siniestro_invalida,monto_siniestro_invalido"
242,10437,,14596.52,Rechazado,fecha_siniestro_invalida
243,9965,,4275.37,,"fecha_siniestro_invalida,estado_vacio"
244,3256,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
245,5447,,14.46474,Abierto,fecha_siniestro_invalida
246,11329,,11681.88,Abierto,fecha_siniestro_invalida
247,23410,,8598.25,,"fecha_siniestro_invalida,estado_vacio"
248,11871,,804.82,Cerrado,fecha_siniestro_invalida
249,18003,,14986.14,,"fecha_siniestro_invalida,estado_vacio"
250,2158,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
251,21022,2025-07-18,,Rechazado,monto_siniestro_invalido
252,2267,,12762.64,Abierto,fecha_siniestro_invalida
253,1765,,10785.64,Abierto,fecha_siniestro_invalida
254,22116,,5059.14,Cerrado,fecha_siniestro_invalida
255,24181,2025-02-09,3638.1,,estado_vacio
256,1939,,7149.72,,"fecha_siniestro_invalida,estado_vacio"
257,15563,,7905.89,Cerrado,fecha_siniestro_invalida
258,7251,,35956.0,Abierto,fecha_siniestro_invalida
259,19809,,10058.57,Cerrado,fecha_siniestro_invalida
260,17781,,14206.04,,"fecha_siniestro_invalida,estado_vacio"
261,9851,,1092.58,Rechazado,fecha_siniestro_invalida
262,17232,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
263,6744,,8.22853,Abierto,fecha_siniestro_invalida
264,13686,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
265,217,,3763.55,Abierto,fecha_siniestro_invalida
266,18359,,11.32678,Rechazado,fecha_siniestro_invalida
267,13995,,6273.55,,"fecha_siniestro_invalida,estado_vacio"
268,18702,,5803.93,Abierto,fecha_siniestro_invalida
269,20302,,12935.03,,"fecha_siniestro_invalida,estado_vacio"
270,21104,,8284.25,Abierto,fecha_siniestro_invalida
271,16423,,12.53138,,"fecha_siniestro_invalida,estado_vacio"
272,11306,,6748.93,Abierto,fecha_siniestro_invalida
273,14467,,2855.89,Abierto,fecha_siniestro_invalida
274,22521,,6246.09,,"fecha_siniestro_invalida,estado_vacio"
275,19524,,10334.68,Abierto,fecha_siniestro_invalida
276,24025,,12873.15,Cerrado,fecha_siniestro_invalida
277,4835,,10216.4,,"fecha_siniestro_invalida,estado_vacio"
278,12350,,2215.15,,"fecha_siniestro_invalida,estado_vacio"
279,8178,,10418.51,Rechazado,fecha_siniestro_invalida
280,3145,,2.9351,,"fecha_siniestro_invalida,estado_vacio"
282,11387,,5370.01,Cerrado,fecha_siniestro_invalida
283,17276,,8841.01,,"fecha_siniestro_invalida,estado_vacio"
284,4685,,11406.08,Abierto,fecha_siniestro_invalida
285,17418,,5091.35,Abierto,fecha_siniestro_invalida
286,14149,,7.31129,Abierto,fecha_siniestro_invalida
287,17519,,2.86986,Rechazado,fecha_siniestro_invalida
288,19817,,2.32109,Abierto,fecha_siniestro_invalida
289,2525,,6583.18,Cerrado,fecha_siniestro_invalida
290,23857,,3302.24,Cerrado,fecha_siniestro_invalida
291,367,,9606.53,,"fecha_siniestro_invalida,estado_vacio"
293,10362,,8.07752,,"fecha_siniestro_invalida,estado_vacio"
294,21932,,9926.07,Abierto,fecha_siniestro_invalida
295,11353,,566.0,Abierto,fecha_siniestro_invalida
296,2362,2026-01-11,,Rechazado,monto_siniestro_invalido
297,7821,,3.56643,Cerrado,fecha_siniestro_invalida
298,6809,,1486.47,,"fecha_siniestro_invalida,estado_vacio"
300,13999,,331.95,Abierto,fecha_siniestro_invalida
301,19710,,1.42402,Cerrado,fecha_siniestro_invalida
302,22748,,5352.07,,"fecha_siniestro_invalida,estado_vacio"
303,1719,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
304,2036,,8381.86,Cerrado,fecha_siniestro_invalida
305,13740,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
306,11979,,3782.57,,"fecha_siniestro_invalida,estado_vacio"
307,9896,,9098.49,,"fecha_siniestro_invalida,estado_vacio"
308,15831,2025-07-06,4383.22,,estado_vacio
309,22223,,11.93928,Cerrado,fecha_siniestro_invalida
310,18660,,7735.22,,"fecha_siniestro_invalida,estado_vacio"
313,12886,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
314,6169,2025-08-08,,Cerrado,monto_siniestro_invalido
316,19243,,2098.28,,"fecha_siniestro_invalida,estado_vacio"
317,7504,2025-12-06,6038.6,,estado_vacio
318,18504,,14001.5,Cerrado,fecha_siniestro_invalida
319,4709,,,Cerrado,"fecha_siniestro_invalida,monto_siniestro_invalido"
320,17508,,8.64045,Abierto,fecha_siniestro_invalida
321,15003,,4359.69,Abierto,fecha_siniestro_invalida
322,19178,,10770.63,Abierto,fecha_siniestro_invalida
323,17082,,11204.61,,"fecha_siniestro_invalida,estado_vacio"
325,25648,2025-11-14,-12.90894,,estado_vacio
326,6507,2025-06-11,6243.4,,estado_vacio
327,8526,,13905.74,Rechazado,fecha_siniestro_invalida
328,19746,,6693.43,Abierto,fecha_siniestro_invalida
329,23344,,10541.76,Abierto,fecha_siniestro_invalida
330,13177,2025-03-09,,,"monto_siniestro_invalido,estado_vacio"
331,16704,,,,"fecha_siniestro_invalida,monto_siniestro_invalido,estado_vacio"
333,21160,,6.11637,Abierto,fecha_siniestro_invalida
334,12046,,2537.12,Abierto,fecha_siniestro_invalida
335,12406,,319.52,Cerrado,fecha_siniestro_invalida
336,23055,2025-12-29,,,"monto_siniestro_invalido,estado_vacio"
337,15288,,4.48508,,"fecha_siniestro_invalida,estado_vacio"
338,13062,,,,"fecha_siniestro_invalida,monto_siniestro_invalido,estado_vacio"
339,8768,,2863.49,Abierto,fecha_siniestro_invalida
340,4853,,8.01606,Abierto,fecha_siniestro_invalida
341,21940,,11.85107,,"fecha_siniestro_invalida,estado_vacio"
342,5070,,6723.23,,"fecha_siniestro_invalida,estado_vacio"
343,25543,,4.5643,Cerrado,fecha_siniestro_invalida
344,9611,,2147.03,Cerrado,fecha_siniestro_invalida
345,5702,,10398.23,Abierto,fecha_siniestro_invalida
346,16953,,14629.39,Cerrado,fecha_siniestro_invalida
347,18616,,,Cerrado,"fecha_siniestro_invalida,monto_siniestro_invalido"
348,3786,,3.56435,,"fecha_siniestro_invalida,estado_vacio"
349,18539,,-4.68476,Cerrado,fecha_siniestro_invalida
351,4779,,,Cerrado,"fecha_siniestro_invalida,monto_siniestro_invalido"
353,21230,2025-10-14,,Abierto,monto_siniestro_invalido
354,23874,,12544.63,Rechazado,fecha_siniestro_invalida
355,23407,2025-08-09,,Cerrado,monto_siniestro_invalido
357,3742,,,,"fecha_siniestro_invalida,monto_siniestro_invalido,estado_vacio"
358,5810,2025-11-18,6718.36,,estado_vacio
359,12112,,2073.55,Abierto,fecha_siniestro_invalida
360,24056,,7083.76,Rechazado,fecha_siniestro_invalida
361,16268,,13927.17,Abierto,fecha_siniestro_invalida
362,18426,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
363,21311,,9959.61,Abierto,fecha_siniestro_invalida
364,16748,2025-08-24,7.75638,,estado_vacio
365,18228,,13973.16,Cerrado,fecha_siniestro_invalida
368,14823,,1629.44,Abierto,fecha_siniestro_invalida
369,15818,,434.28,Abierto,fecha_siniestro_invalida
370,20114,,5559.03,Abierto,fecha_siniestro_invalida
372,941,,10846.29,Abierto,fecha_siniestro_invalida
373,16241,,2754.6,Cerrado,fecha_siniestro_invalida
374,24381,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
375,3784,,6.27859,Cerrado,fecha_siniestro_invalida
376,18210,2025-04-21,13180.58,,estado_vacio
377,19938,,-3081.44,Abierto,fecha_siniestro_invalida
378,4586,,2051.08,Abierto,fecha_siniestro_invalida
379,19394,,4337.43,Cerrado,fecha_siniestro_invalida
380,19177,2025-11-20,,,"monto_siniestro_invalido,estado_vacio"
381,18189,,,Cerrado,"fecha_siniestro_invalida,monto_siniestro_invalido"
382,13149,,5788.34,,"fecha_siniestro_invalida,estado_vacio"
383,3726,,,Cerrado,"fecha_siniestro_invalida,monto_siniestro_invalido"
385,3696,,2099.51,,"fecha_siniestro_invalida,estado_vacio"
386,20394,2026-01-19,,,"monto_siniestro_invalido,estado_vacio"
387,7121,2025-03-16,101.74,,estado_vacio
388,8625,,4076.28,,"fecha_siniestro_invalida,estado_vacio"
389,21668,,11042.25,Abierto,fecha_siniestro_invalida
390,840,,10747.46,Abierto,fecha_siniestro_invalida
391,24690,,5736.62,,"fecha_siniestro_invalida,estado_vacio"
392,20920,,1035.65,Cerrado,fecha_siniestro_invalida
393,19824,,,,"fecha_siniestro_invalida,monto_siniestro_invalido,estado_vacio"
394,7220,2025-07-25,6.65759,,estado_vacio
396,986,,8896.66,Abierto,fecha_siniestro_invalida
397,22624,,6819.88,Cerrado,fecha_siniestro_invalida
398,10478,,7566.63,Abierto,fecha_siniestro_invalida
399,1386,,1160.69,Abierto,fecha_siniestro_invalida
400,6936,2025-08-02,8.4116,,estado_vacio
401,12559,,,Rechazado,"fecha_siniestro_invalida,monto_siniestro_invalido"
402,22663,2025-04-29,11.36364,,estado_vacio
403,9469,,3.66472,Cerrado,fecha_siniestro_invalida
404,4048,,,,"fecha_siniestro_invalida,monto_siniestro_invalido,estado_vacio"
405,17081,,13.44595,Abierto,fecha_siniestro_invalida
406,13593,,1225.41,Cerrado,fecha_siniestro_invalida
407,15499,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
408,15018,,13987.17,,"fecha_siniestro_invalida,estado_vacio"
409,4598,,14385.55,Abierto,fecha_siniestro_invalida
410,20008,,90844.0,,"fecha_siniestro_invalida,estado_vacio"
411,15930,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
413,15474,,11665.1,Cerrado,fecha_siniestro_invalida
414,1039,2025-11-28,6928.26,,estado_vacio
415,10705,,4.37208,,"fecha_siniestro_invalida,estado_vacio"
416,1066,,2268.69,Rechazado,fecha_siniestro_invalida
417,24940,,11978.74,Abierto,fecha_siniestro_invalida
418,19027,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
420,15208,,14567.87,Rechazado,fecha_siniestro_invalida
421,5615,,9.7449,,"fecha_siniestro_invalida,estado_vacio"
422,9973,,5901.69,Abierto,fecha_siniestro_invalida
423,11261,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
424,11599,,2.65634,Cerrado,fecha_siniestro_invalida
425,6477,,11168.31,Abierto,fecha_siniestro_invalida
426,24821,,9.78635,Cerrado,fecha_siniestro_invalida
427,19205,,8.9615,,"fecha_siniestro_invalida,estado_vacio"
428,20511,,1.74182,,"fecha_siniestro_invalida,estado_vacio"
429,10083,2025-08-08,4.18636,,estado_vacio
430,9420,,14797.54,Rechazado,fecha_siniestro_invalida
431,16556,,,Cerrado,"fecha_siniestro_invalida,monto_siniestro_invalido"
432,3991,,12934.03,Cerrado,fecha_siniestro_invalida
433,13660,,4257.18,Rechazado,fecha_siniestro_invalida
434,9923,,10300.58,Cerrado,fecha_siniestro_invalida
435,15659,,,,"fecha_siniestro_invalida,monto_siniestro_invalido,estado_vacio"
436,4058,,13.14269,,"fecha_siniestro_invalida,estado_vacio"
437,23431,,9923.03,Rechazado,fecha_siniestro_invalida
438,20439,,,Cerrado,"fecha_siniestro_invalida,monto_siniestro_invalido"
439,23475,,,,"fecha_siniestro_invalida,monto_siniestro_invalido,estado_vacio"
440,16397,,8.35938,Rechazado,fecha_siniestro_invalida
441,22684,,10554.36,Rechazado,fecha_siniestro_invalida
442,25876,,14722.0,Rechazado,fecha_siniestro_invalida
443,11757,2025-06-27,7553.76,,estado_vacio
444,23715,,2.74813,,"fecha_siniestro_invalida,estado_vacio"
445,7801,2025-01-27,,Rechazado,monto_siniestro_invalido
446,849,,966.15,,"fecha_siniestro_invalida,estado_vacio"
447,24783,2025-05-16,3775.66,,estado_vacio
448,13756,,8492.99,Cerrado,fecha_siniestro_invalida
449,10005,,9876.19,Abierto,fecha_siniestro_invalida
450,18661,,2919.02,Rechazado,fecha_siniestro_invalida
451,3111,,12498.73,Cerrado,fecha_siniestro_invalida
452,1835,2025-04-14,6449.29,,estado_vacio
453,14614,2025-12-10,5.08175,,estado_vacio
454,18671,,14655.73,,"fecha_siniestro_invalida,estado_vacio"
455,11674,2025-05-22,,Cerrado,monto_siniestro_invalido
456,6812,,10.45709,,"fecha_siniestro_invalida,estado_vacio"
457,4234,2025-10-22,,Rechazado,monto_siniestro_invalido
458,22894,,13379.41,,"fecha_siniestro_invalida,estado_vacio"
459,19084,,11662.9,,"fecha_siniestro_invalida,estado_vacio"
460,9557,,11367.71,,"fecha_siniestro_invalida,estado_vacio"
461,9517,,,,"fecha_siniestro_invalida,monto_siniestro_invalido,estado_vacio"
462,1370,,2238.16,Rechazado,fecha_siniestro_invalida
463,1315,,9.40353,Cerrado,fecha_siniestro_invalida
464,7665,,6095.66,Abierto,fecha_siniestro_invalida
465,4729,,13763.87,Cerrado,fecha_siniestro_invalida
466,19556,,92956.0,Cerrado,fecha_siniestro_invalida
467,12477,,12448.85,Cerrado,fecha_siniestro_invalida
468,7145,,9748.24,Rechazado,fecha_siniestro_invalida
469,10808,2025-12-30,3705.92,,estado_vacio
470,7885,,9856.68,Cerrado,fecha_siniestro_invalida
472,4686,,7740.48,Abierto,fecha_siniestro_invalida
474,12213,,,,"fecha_siniestro_invalida,monto_siniestro_invalido,estado_vacio"
475,13039,,,,"fecha_siniestro_invalida,monto_siniestro_invalido,estado_vacio"
476,4147,,,Rechazado,"fecha_siniestro_invalida,monto_siniestro_invalido"
477,23464,,4.56133,Rechazado,fecha_siniestro_invalida
478,15010,,11687.78,Abierto,fecha_siniestro_invalida
479,4770,,,Cerrado,"fecha_siniestro_invalida,monto_siniestro_invalido"
480,23674,,19204.0,,"fecha_siniestro_invalida,estado_vacio"
481,5991,,,Rechazado,"fecha_siniestro_invalida,monto_siniestro_invalido"
483,1067,,5.41194,,"fecha_siniestro_invalida,estado_vacio"
484,10177,,9795.3,Rechazado,fecha_siniestro_invalida
485,23236,,9341.17,,"fecha_siniestro_invalida,estado_vacio"
